graph,"metric dimension",time
"E?bo",3,0.03389040500042029
"E?bw",3,0.0335739360016305
"E?Bw",4,0.038240055000642315
"ECfo",2,0.005814723997900728
"ECfw",3,0.010054324004158843
"EC~o",3,0.009998401001212187
"ECpo",2,0.005065875993750524
"ECqg",2,0.004964956999174319
"ECR_",2,0.005238378005742561
"ECr_",2,0.005770709001808427
"ECrg",2,0.005453249003039673
"ECRo",2,0.005590018998191226
"ECro",2,0.0058889149950118735
"ECRw",2,0.005787523994513322
"ECrw",2,0.006174222995468881
"ECuw",3,0.009141264999925625
"ECvo",2,0.005986383999697864
"ECvw",3,0.009937570997863077
"EC~w",3,0.009897714997350704
"ECxo",2,0.005803852996905334
"ECxw",2,0.0058962180046364665
"ECYW",2,0.006056357000488788
"ECZ?",1,0.0028156469998066314
"ECZ_",2,0.005998177999572363
"ECZG",2,0.004876384999079164
"ECZg",2,0.005549603003601078
"ECzg",3,0.009943575998477172
"ECZO",2,0.005264345003524795
"ECZo",2,0.005725723996874876
"ECzo",2,0.0060321580021991394
"ECZw",2,0.005839431003550999
"ECZW",2,0.0059829759993590415
"ECzW",2,0.006147063002572395
"ECzw",2,0.0064004160012700595
"EEh_",2,0.004740071002743207
"EEho",2,0.0051974100060760975
"EEhW",2,0.005549334004172124
"EEhw",2,0.005939404996752273
"EEio",2,0.005154984995897394
"EEiW",2,0.005919210998399649
"EEj_",2,0.005518641999515239
"EEjo",2,0.005674640997312963
"EEjW",2,0.00555473800341133
"EEjw",2,0.005995993997203186
"EElw",2,0.005859513999894261
"EEno",2,0.006636676000198349
"EEnw",2,0.006560347996128257
"EEr_",3,0.009436722997634206
"EEro",2,0.005798252997919917
"EErw",2,0.005796126999484841
"EEuw",3,0.009189260999846738
"EEvo",2,0.005757823004387319
"EEvw",3,0.01029571599792689
"EE~w",3,0.010179058997891843
"EEz_",3,0.010285282995027956
"EEzg",3,0.009366995996970218
"EEzO",2,0.005988926001009531
"EEzo",2,0.006271931000810582
"EEzw",2,0.006331837001198437
"EF~w",4,0.013719598005991429
"EFz_",4,0.013854858996637631
"EFzo",3,0.010140537000552285
"EFzW",3,0.009342265002487693
"EFzw",3,0.010308801000064705
"E]~o",3,0.00994467199780047
"E?~o",4,0.014002112999150995
"E?ow",2,0.02897371500148438
"EQj_",2,0.005314199996064417
"EQjg",3,0.009503184002824128
"EQjo",2,0.005617172006168403
"EQjO",2,0.0060541999991983175
"EQjw",3,0.010401731000456493
"E?qo",2,0.029250929997942876
"EQ~o",3,0.010291906997736078
"E?qw",2,0.028659586001595017
"EQ~w",3,0.010102841995831113
"EQyw",3,0.008969691996753681
"EQzg",3,0.009155740997812245
"EQzO",2,0.005071881001640577
"EQzo",2,0.006317995001154486
"EQzW",2,0.0058936469940817915
"EQzw",3,0.014080503999139182
"E?ro",3,0.032472636994498316
"E?rw",3,0.03240848999848822
"ETno",3,0.009689614998933394
"ETnw",4,0.01445005399727961
"ET~w",4,0.013504779999493621
"ETzg",3,0.009175924998999108
"ETzo",3,0.008875172003172338
"ETzw",3,0.009607733998564072
"EU~w",3,0.009880312005407177
"EUxo",2,0.005575153001700528
"EUZ_",2,0.005987145996186882
"EUZO",2,0.0058863559970632195
"EUZo",2,0.005996535001031589
"EUzo",2,0.006523144002130721
"EUZw",2,0.0057520140035194345
"EUzw",2,0.006401967999408953
"EUzW",2,0.006507299003715161
"EV~w",4,0.013770502002444118
"E]~w",3,0.009640062002290506
"E^~w",4,0.010499286996491719
"E?~w",4,0.01426119700045092
"E~~w",5,0.010970178998832125
"E]yw",3,0.009342657001980115
"E]zg",3,0.010186805993726011
"E?zO",2,0.006275816995184869
"E]zo",3,0.009912284003803506
"E?zo",3,0.010501380005734973
"E?zW",2,0.0058841419959208
"E]zw",3,0.009343653997348156
"E?zw",3,0.010243944998364896
